Img_src,Text
https://image.musinsa.com/mfile_s01/_lookbook/list5d8abb5768cdf,"굿네이션의 레이블 크리틱의 세컨드 라인인 CRT의 가을/겨울 시즌 컬렉션이 발매되었다. CRT는 ‘Capital Radio Tunes’의 이니셜로 이미 익숙해진 일상생활 속 작은 변화에서 오는 감동을 선사하고자 익숙함을 새로움으로 바꾸는 옷을 만들어 나간다. 유니섹스 웨어를 기반으로 하는 CRT의 이번 시즌은 넉넉한 실루엣의 다양한 미니멀 디자인의 니트 컬렉션, 남녀 모두 편하게 착용 가능한 멋스러운 코트와 위트있는 액세사리 등 다양한 제품들로 구성되었다."
https://image.musinsa.com/mfile_s01/_lookbook/list5d89d74d58c88,BADEE 2019 FW COLLECTION은 'ADOLESCENSE: OUTLAW AGE'를 시즌 컨셉으로 90년대 과도기를 겪는 소녀의 모습을 시각화하여 전개하였다. 겉모습은 아직 소녀이지만 숙녀가 되고 싶어하는 소녀를 상상하며 BADEE만의 색감을 입혀 90년대 성행했던 원단과 기법들을 사용하여 당시대의 무드를 표현했다.
https://image.musinsa.com/mfile_s01/_lookbook/list5d8889a518978,"'마리떼 프랑소와 저버'는 Marithé Bacheellerie와 Franchis Girbaud가 만든 브랜드로, 1972년 프랑스에서 론칭한 이후 스톤 워싱, 배기 진, 엔지니어드 진 등을 세계 최초로 개발하였습니다. 데님을 기반으로 독창적이고 실험적인 컬렉션을 계속하여 선보이며, 40여 년간 그 명성을 이어오고 있는 브랜드입니다. 1990년대 국내에서 큰 인기를 끌었던 데님 브랜드를 현대식 라이프 스타일에 맞추어 캐주얼하게 재해석하여 2019년 새로운 '마리떼 프랑소와 저버'를 선보입니다."
https://image.musinsa.com/mfile_s01/_lookbook/list5d897f4869dba,"""STARTER & MILLET CLASSIC"" 미국의 70년대 STREET 문화가 깃든 ORIGINAL HERITAGE SPORTS BRAND STARTER. 프랑스의 80년대 VINTAGE ARCHIVE에서 영감을 받은 MILLET CLASSIC. 서로 다른 두 브랜드가 ""RETRO""라는 주제로 70's~80's STREET & OUTDOOR 스타일을 현대적으로 재해석. 두 브랜드의 70'S~80'S ORIGINAL GARMENT ARCHIVE를 재현, 과거와 현재가 이어지는 CITY OUTDOOR STYLE을 제안. USA MOUNTAIN DOWN PARKA, 80'S SHERPA HALF ZIP-UP, 80'S SHERPA OPEN CREWNECK 등의 스타일을 구성. RED, BLU E등 STARTER의 SIGNATURE COLLOR 들과 MILLET CLASSIC의 스타일을 조화롭게 재현하여 2019F/W 시즌 차별화된 COLLABORATION을 완성."
https://image.musinsa.com/mfile_s01/_lookbook/list5d897a017d382,"이번 시즌 콘셉트는 가상현실 스포츠, VR 게임에서 시작되어 아케이드까지, 시대를 어우르는 게임들의 이스포츠 리그전 콘셉트로 구성되었다. 게임의 가상공간을 다양한 컬러 조명, VR, 게이밍 의자를 사용하여 레트로 퓨처리즘 무드를 연출하였고, 다양한 게임 그래픽과 셀파, 플리스, 벨루어, 타월 소재 등의 터치감 있는 소재들을 사용하여 디자인하였다. 낫노잉의 아이덴티티를 보여줄 수 있는 이스포츠 유니폼 저지 티셔츠는 더욱더 리얼한 형광 컬러와 스포츠 소재로 디자인되었다."
https://image.musinsa.com/mfile_s01/_lookbook/list5d89cc082c56f,아임낫어휴먼비잉(I AM NOT A HUMAN BEING)의 10번째 컬렉션을 기념하여 기존 로고의 유니크한 느낌을 벗어나 조금은 차분한 새로운 로고와 함께 조금 더 편안하게 다가갈 수 있는 제품들로 구성하였습니다.
https://image.musinsa.com/mfile_s01/_lookbook/list5d89b6476ebdb,"Parts 19 Autumn Winter Denim Collection 은 절제된 미니멀리즘과 웨어러블한 감성을 표현하고자 서로 상반되는 이미지를 조화롭게 만들어냈다, 그리드 배경에서의 무드컷은 데님 특유의 러프하고 남성스러운 멋을 직선적인 공간에서 레트로한 컨셉으로 표현하고자 하였습니다."
https://image.musinsa.com/mfile_s01/_lookbook/list5d89d0a6c28d3,"네스티킥 2019 A/W 는 ""PROGRESIVE""라는 타이틀로 기존의 퀄리티 디자인 핏등 조금 더 변화되고 업그레이드된 다양한 아이템과 미니멀함을 강조한 임팩트 있는 디자인으로 개성 있는 연출 가능한 제품들로 구성되어 출시되었습니다."
https://image.musinsa.com/mfile_s01/_lookbook/list5d8964c06e08e,"스트릿에서 영감을 받아 베이직부터 트렌드 아이템까지 NII만의 스타일로 재해석한 뉴베이직 트렌티 캐주얼로 신예은, 신승호와 함께한 2019 가을 컬렉션"
https://image.musinsa.com/mfile_s01/_lookbook/list5d89700642d5b,동요 '어린이 왈츠'에서 영감을 받은 컨셉으로 아더월들리 특유의 장난스러운 분위기와 희소성 있는 디테일을 담았다. 동요 가사처럼   아름답게 자란 어른이 어린 시절의 자신을 회상하며 옷장에서 꺼내보는 동요같이 순수하고 동심 가득한 어른 옷을 표현해보았다.
